Emotion,Count,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC
Angry,958,0.5720250521920668,0.5279383429672447,0.5720250521920668,0.5490981963927856,0.8756836153830664,0.5933668638722043
Disgust,111,0.38738738738738737,0.4479166666666667,0.38738738738738737,0.41545893719806765,0.9269718282029021,0.39732554253029184
Fear,1024,0.1689453125,0.5457413249211357,0.1689453125,0.25801640566741235,0.7909431841840673,0.42640956998233703
Happy,1774,0.8624577226606539,0.8383561643835616,0.8624577226606539,0.8502361767157544,0.9686125960393445,0.927246455943378
Neutral,1247,0.3536487570168404,0.21810089020771514,0.3536487570168404,0.2698072805139186,0.6538235687416787,0.2141001137404821
Sad,831,0.01444043321299639,0.011396011396011397,0.01444043321299639,0.012738853503184714,0.2475456249927716,0.07156582433649573
Surprise,1233,0.006488240064882401,0.009673518742442563,0.006488240064882401,0.007766990291262136,0.34275424153687795,0.12152195765365567
Overall,7178,0.38381164669824464,0.40330676777191976,0.38381164669824464,0.37632936140451123,,
